Season,Week,Celebrity,Vote_Share,Survival_Value,Judge_Score
1,2,Kelly Monaco,0.1666674796264691,-6.0,17.0
1,2,Evander Holyfield,0.1666674796264691,-7.0,14.0
1,2,John O'Hurley,0.166666673355779,-4.0,26.0
1,2,Rachel Hunter,0.166666673355779,-5.0,24.0
1,2,Joey McIntyre,0.166666673355779,-6.0,21.0
1,2,Trista Sutter,0.16666502051305804,-10.0,19.0
1,3,John O'Hurley,0.2000000096352238,-3.0,24.0
1,3,Kelly Monaco,0.2000000096352238,-5.0,21.0
1,3,Rachel Hunter,0.2000000096352238,-2.0,26.0
1,3,Joey McIntyre,0.2000000096352238,-4.0,22.0
1,3,Evander Holyfield,0.19999996125910485,-10.0,13.0
1,4,John O'Hurley,0.2500012244565625,-4.0,21.0
1,4,Joey McIntyre,0.2500012244565625,-5.0,20.0
1,4,Kelly Monaco,0.2500000150505031,-4.0,26.0
1,4,Rachel Hunter,0.24999753578637188,-6.0,25.0
2,1,Master P,0.10000038899228125,-11.0,12.0
2,1,Tatum O'Neal,0.1000000019251743,-4.0,23.0
2,1,Tia Carrere,0.1000000019251743,-8.0,20.0
2,1,George Hamilton,0.1000000019251743,-10.0,18.0
2,1,Lisa Rinna,0.1000000019251743,-9.0,19.0
2,1,Stacy Keibler,0.1000000019251743,-6.0,22.0
2,1,Jerry Rice,0.1000000019251743,-7.0,21.0
2,1,Giselle Fernandez,0.1000000019251743,-4.0,23.0
2,1,Drew Lachey,0.1000000019251743,-3.0,24.0
2,1,Kenny Mayne,0.09999959550632442,-19.0,13.0
2,2,Master P,0.11111154356243372,-10.0,16.0
2,2,Tia Carrere,0.1111111134878695,-7.0,22.0
2,2,George Hamilton,0.1111111134878695,-7.0,22.0
2,2,Lisa Rinna,0.1111111134878695,-9.0,20.0
2,2,Stacy Keibler,0.1111111134878695,-3.0,29.0
2,2,Jerry Rice,0.1111111134878695,-6.0,23.0
2,2,Giselle Fernandez,0.1111111134878695,-5.0,24.0
2,2,Drew Lachey,0.1111111134878695,-4.0,27.0
2,2,Tatum O'Neal,0.11111066191136869,-17.0,17.0
2,3,Jerry Rice,0.1250005442963067,-8.0,19.0
2,3,Master P,0.1250005442963067,-9.0,14.0
2,3,George Hamilton,0.12500008465385923,-8.0,22.0
2,3,Tia Carrere,0.12500006046219828,-7.0,26.0
2,3,Lisa Rinna,0.12500006046219828,-8.0,25.0
2,3,Stacy Keibler,0.12500006046219828,-5.0,27.0
2,3,Drew Lachey,0.12500006046219828,-5.0,27.0
2,3,Giselle Fernandez,0.12499858477973419,-13.0,22.0
2,4,Tia Carrere,0.14285714678639105,-5.0,25.0
