Season,Method,Total_Weeks,Exact_Correct,Bottom2_Correct,Exact_Accuracy,Bottom2_Accuracy
1,Ranking,11,1,1,0.09090909090909091,0.09090909090909091
2,Ranking,11,0,1,0.0,0.09090909090909091
3,Percentage,11,1,2,0.09090909090909091,0.18181818181818182
4,Percentage,11,1,1,0.09090909090909091,0.09090909090909091
5,Percentage,11,2,2,0.18181818181818182,0.18181818181818182
6,Percentage,11,1,2,0.09090909090909091,0.18181818181818182
7,Percentage,11,0,1,0.0,0.09090909090909091
8,Percentage,11,0,1,0.0,0.09090909090909091
9,Percentage,11,1,1,0.09090909090909091,0.09090909090909091
10,Percentage,11,1,2,0.09090909090909091,0.18181818181818182
11,Percentage,11,1,2,0.09090909090909091,0.18181818181818182
12,Percentage,11,1,2,0.09090909090909091,0.18181818181818182
13,Percentage,11,1,2,0.09090909090909091,0.18181818181818182
14,Percentage,11,1,1,0.09090909090909091,0.09090909090909091
15,Percentage,11,1,2,0.09090909090909091,0.18181818181818182
16,Percentage,11,1,2,0.09090909090909091,0.18181818181818182
17,Percentage,11,0,1,0.0,0.09090909090909091
18,Percentage,11,1,2,0.09090909090909091,0.18181818181818182
19,Percentage,11,0,1,0.0,0.09090909090909091
20,Percentage,11,0,1,0.0,0.09090909090909091
21,Percentage,11,0,0,0.0,0.0
22,Percentage,11,1,1,0.09090909090909091,0.09090909090909091
23,Percentage,11,0,2,0.0,0.18181818181818182
24,Percentage,11,0,0,0.0,0.0
25,Percentage,11,0,1,0.0,0.09090909090909091
26,Percentage,11,0,0,0.0,0.0
27,Percentage,11,0,1,0.0,0.09090909090909091
28,Percentage,11,0,1,0.0,0.09090909090909091
29,Percentage,11,0,2,0.0,0.18181818181818182
30,Percentage,11,0,1,0.0,0.09090909090909091
31,Percentage,11,0,1,0.0,0.09090909090909091
32,Percentage,11,0,1,0.0,0.09090909090909091
33,Percentage,11,0,1,0.0,0.09090909090909091
34,Percentage,11,1,1,0.09090909090909091,0.09090909090909091
