season,week,method,predicted_elimination,actual_elimination,correct,margin
1,1,rank,Kelly Monaco,,,2.5
1,2,rank,Trista Sutter,Trista Sutter,True,0.0
1,3,rank,Evander Holyfield,Evander Holyfield,True,2.0
1,4,rank,Joey McIntyre,Rachel Hunter,True,0.0
1,5,rank,Joey McIntyre,,,2.0
1,6,rank,John O'Hurley,,,2.0
2,1,rank,Kenny Mayne,Kenny Mayne,True,0.0
2,2,rank,Master P,Tatum O'Neal,True,0.0
2,3,rank,Master P,Giselle Fernandez,False,0.0
2,4,rank,Master P,Master P,True,2.0
2,5,rank,Tia Carrere,Tia Carrere,True,2.0
2,6,rank,George Hamilton,George Hamilton,True,1.0
2,7,rank,Jerry Rice,Lisa Rinna,True,0.0
2,8,rank,Jerry Rice,,,2.0
3,1,percent,Tucker Carlson,Tucker Carlson,True,0.02830188679245285
3,2,percent,Shanna Moakler,Shanna Moakler,True,0.0001000000000000445
3,3,percent,Harry Hamlin,Harry Hamlin,True,0.0001000000000000445
3,4,percent,Vivica A. Fox,Vivica A. Fox,True,9.999999999998899e-05
3,5,percent,Sara Evans,Willa Ford,True,0.01244127089643865
3,6,percent,Jerry Springer,,,0.06810391398627874
3,7,percent,Jerry Springer,Jerry Springer,True,0.05779728538546358
3,8,percent,Monique Coleman,Monique Coleman,True,0.011140455005441807
3,9,percent,Joey Lawrence,,,0.0005071431320391451
3,10,percent,Emmitt Smith,,,0.002995341884189706
4,1,percent,Billy Ray Cyrus,,,0.01941747572815536
4,2,percent,Paulina Porizkova,Paulina Porizkova,True,0.00010000000000001674
4,3,percent,Shandi Finnessey,Shandi Finnessey,True,0.00010000000000001674
4,4,percent,Leeza Gibbons,Leeza Gibbons,True,9.999999999998899e-05
4,5,percent,Clyde Drexler,Clyde Drexler,True,0.04176237276822814
4,6,percent,Heather Mills,Heather Mills,True,9.999999999998899e-05
4,7,percent,John Ratzenberger,John Ratzenberger,True,9.999999999998899e-05
4,8,percent,Billy Ray Cyrus,Billy Ray Cyrus,True,0.06712298714222448
4,9,percent,Ian Ziering,Ian Ziering,True,0.021031970263880595
4,10,percent,Laila Ali,,,0.007217995250960341
5,1,percent,Josie Maran,Josie Maran,True,0.01556420233463035
5,2,percent,Albert Reed,Albert Reed,True,0.00010000000000001674
5,3,percent,Wayne Newton,Wayne Newton,True,0.009160758477771092
5,4,percent,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True,9.999999999998899e-05
5,5,percent,Mark Cuban,Mark Cuban,True,0.006365883712169174
5,6,percent,Sabrina Bryan,Sabrina Bryan,True,0.0001000000000000445
5,7,percent,Jane Seymour,Jane Seymour,True,0.0045275245686127175
5,8,percent,Cameron Mathison,Cameron Mathison,True,9.999999999998899e-05
5,9,percent,Jennie Garth,Jennie Garth,True,9.999999999998899e-05
5,10,percent,Marie Osmond,,,0.10769736892561366
6,1,percent,Monica Seles,,,0.0
6,2,percent,Monica Seles,Monica Seles,True,0.012521389881220035
6,3,percent,Steve Guttenberg,Steve Guttenberg,True,0.00010000000000001674
6,4,percent,Adam Carolla,Adam Carolla,True,0.03054467957697149
6,5,percent,Priscilla Presley,Priscilla Presley,True,0.00858124841066743
6,6,percent,Marlee Matlin,Marlee Matlin,True,0.030888675410152666
6,7,percent,Shannon Elizabeth,Shannon Elizabeth,True,9.999999999998899e-05
6,8,percent,Mario,Mario,True,0.0001000000000000445
6,9,percent,Marissa Jaret Winokur,Marissa Jaret Winokur,True,0.021096505756337036
6,10,percent,Cristian de la Fuente,,,0.04465243169099453
7,1,percent,Jeffrey Ross,Ted McGinley,True,0.04161666666666666
7,2,percent,Kim Kardashian,Misty May-Treanor,True,0.0032232941627383382
7,3,percent,Cloris Leachman,,,0.030683027499349924
