season,week,method,celebrity_name,fan_votes,eliminated
1,1,rank,John O'Hurley,237142.39683052077,False
1,1,rank,Kelly Monaco,58478.59508024207,False
1,1,rank,Evander Holyfield,117761.42917190718,False
1,1,rank,Rachel Hunter,336521.07973781653,False
1,1,rank,Joey McIntyre,167111.42261381674,False
1,1,rank,Trista Sutter,82985.07656569683,False
1,2,rank,John O'Hurley,336521.0797378165,False
1,2,rank,Kelly Monaco,82985.07656569681,False
1,2,rank,Evander Holyfield,117761.42917190716,False
1,2,rank,Rachel Hunter,237142.39683052074,False
1,2,rank,Joey McIntyre,167111.42261381674,False
1,2,rank,Trista Sutter,58478.595080242056,True
1,3,rank,John O'Hurley,251871.48756403627,False
1,3,rank,Kelly Monaco,125075.67916838119,False
1,3,rank,Evander Holyfield,88139.34142343722,True
1,3,rank,Rachel Hunter,357422.654418034,False
1,3,rank,Joey McIntyre,177490.83742611142,False
1,4,rank,John O'Hurley,194646.88574587594,False
1,4,rank,Kelly Monaco,391970.6931714542,False
1,4,rank,Rachel Hunter,137165.34208595802,True
1,4,rank,Joey McIntyre,276217.078996712,False
1,5,rank,John O'Hurley,454282.50890972366,False
1,5,rank,Kelly Monaco,320127.4733962176,False
1,5,rank,Joey McIntyre,225590.01769405883,False
1,6,rank,John O'Hurley,413382.42108267,False
1,6,rank,Kelly Monaco,586617.5789173301,False
2,1,rank,Tatum O'Neal,214582.61956610714,False
2,1,rank,Tia Carrere,52915.422499638786,False
2,1,rank,George Hamilton,26277.021157233918,False
2,1,rank,Lisa Rinna,37288.8679979291,False
2,1,rank,Stacy Keibler,106558.5753255918,False
2,1,rank,Jerry Rice,75090.55888933889,False
2,1,rank,Giselle Fernandez,151213.81626887748,False
2,1,rank,Master P,18517.103842789384,False
2,1,rank,Drew Lachey,304507.2319183952,False
2,1,rank,Kenny Mayne,13048.782534098298,True
2,2,rank,Tatum O'Neal,18761.924110427615,True
2,2,rank,Tia Carrere,53615.03341117969,False
2,2,rank,George Hamilton,76083.35403054835,False
2,2,rank,Lisa Rinna,37781.87547472922,False
